"Ad group state","Ad group ID"
paused,22917983286
paused,22917983766
paused,22917984126
paused,22917984966
paused,22917985206
paused,22917985446
paused,22917985686
paused,22917985926
active,22917986526
paused,22917986646
paused,22917986886
paused,22917987126
active,22917981006
paused,22917980886
paused,22917981126
paused,22917981606
paused,22917980046
paused,22917980166
paused,22917979926
paused,22917980526
paused,22917979326
paused,22917979686
paused,22917976446
paused,22917977886
paused,22917978606
paused,22917978726
active,22917978966
active,22917979086
paused,22917975966
paused,22917976686
paused,22917976926
paused,22917977286
active,22917977406
paused,22917978246
active,22917976206
paused,22917976566
paused,22917977046
paused,22917978486
paused,22917975486
paused,22917975726
paused,22917975846
active,22917973086
active,22917973566
active,22917973926
active,22917975246
active,22917973446
active,22917974046
paused,22917972486
paused,22917972846
active,22917973326
active,22917974286
paused,22917975006
paused,22917975126
active,22917971646
paused,22918007166
paused,22918007526
paused,22918007886
paused,22918008366
paused,22918007286
paused,22918007406
paused,22918008006
paused,22918002006
paused,22918001886
paused,22918002366
paused,22918002966
paused,22918001646
paused,22918002726
paused,22918002846
paused,22918000566
paused,22917997206
paused,22917998286
paused,22918001166
active,22917997566
paused,22917998406
active,22918001046
paused,22918008486
paused,22917996126
paused,22917996006
paused,22917996366
paused,22917964086
paused,22917958206
active,22917958806
paused,22917958926
paused,22917959046
paused,22917958566
active,22917959406
active,22917960246
paused,22917960846
paused,22917962166
active,22917957726
active,22917957966
active,22917958086
active,22917958326
paused,22917958446
paused,22917958686
active,22917959526
active,22917959646
paused,22917960006
paused,22917960606
paused,22917961086
paused,22917961926
active,22917962046
paused,22918003326
paused,22918003446
paused,22918003086
paused,22918003206
active,22917955206
paused,22917955686
active,22917955806
paused,22917956046
paused,22917956286
paused,22917957126
active,22917972006
paused,22917971766
paused,22917971886
paused,22917970806
paused,22917970926
paused,22917971166
paused,22917970686
paused,22917971286
paused,22917967686
paused,22917967806
paused,22917969726
paused,22917969966
paused,22917970086
paused,22917970206
paused,22917968406
paused,22917968886
paused,22917969126
paused,22917970326
paused,22917969006
active,22917969366
paused,22917969606
paused,22917970446
active,22917965766
paused,22917966606
paused,22917966966
paused,22917967326
active,22917967086
paused,22917966126
paused,22917966366
paused,22917966726
paused,22917967206
active,22917967446
paused,22917996606
active,22917995766
active,22917994686
paused,22917994806
paused,22917994926
paused,22917995166
paused,22917995286
paused,22918006566
paused,22918006926
paused,22918007046
paused,22918006446
paused,22918006206
paused,22918006326
active,22917994446
paused,22917994326
paused,22917993846
paused,22917993606
paused,22918004886
paused,22918005726
paused,22918005846
active,22918004766
paused,22918005486
paused,22918005966
active,22918004646
paused,22918005126
paused,22918005246
paused,22918005366
active,22917991326
paused,22917991446
active,22917992046
paused,22917992166
paused,22917992766
paused,22917956646
active,22917957366
paused,22917955446
active,22917956406
active,22917956766
paused,22917957006
paused,22917954486
paused,22917954606
paused,22917982806
paused,22917983166
paused,22917985326
paused,22917986046
paused,22917986166
active,22917981486
active,22917981726
paused,22917981846
paused,22917981246
paused,22917981366
paused,22917980286
