"Ad group state","Ad group ID"
active,28725056355
paused,28725121155
paused,28725071235
paused,28725114315
paused,28725079515
paused,28725076035
paused,28725074475
paused,28725074115
paused,28725072675
paused,28725073635
paused,28725063795
paused,28725064875
paused,28725065715
paused,28725065955
active,28725051555
paused,28725065235
paused,28725084435
paused,28725085035
paused,28725118635
paused,28725118875
paused,28725086955
paused,28725089235
paused,28725086475
active,28725054075
paused,28725113355
active,30279245835
paused,28725119355
paused,28725088755
paused,28725088875
active,28725108795
paused,28725112875
active,28881589155
paused,28725120675
paused,28725112635
paused,28725106155
paused,28725087075
paused,28725097155
paused,28725099435
paused,28725100155
paused,28725083595
paused,28725109035
paused,28725099555
paused,28725091155
active,28725055155
active,28725047595
active,28725047955
active,28725052275
active,28725043995
active,28725046395
active,28725043035
active,28725040155
paused,28725118755
paused,28725085755
paused,28725085635
active,28725084795
paused,28725085275
paused,28725085395
paused,28725085515
paused,28725076875
paused,28725076755
paused,28725075915
paused,28725074835
paused,28725074715
paused,28725073275
paused,28725073155
paused,28725082275
paused,28725082395
paused,28725082755
paused,28725084915
paused,28725086595
paused,28725111675
paused,28725062475
active,28725057315
paused,28725058515
paused,28725113115
paused,28725109275
paused,28725109395
paused,28725108915
paused,28725107835
paused,28725075315
paused,28725114675
paused,28725113955
paused,28725113835
paused,28725111315
paused,28725110955
paused,28725109875
paused,28725110715
paused,28725070995
active,28725070395
paused,28725068715
paused,28725068595
paused,28725068355
paused,28725067995
paused,28725067155
paused,28725067035
paused,28725066915
paused,28725124755
paused,28725124875
paused,28725125235
paused,28725063315
paused,28725064395
paused,28725064995
paused,28725066795
paused,28725101715
active,30228660915
active,30228661155
active,30279245595
active,30279246075
active,30279246555
paused,28725121035
paused,28725124035
paused,28725124155
paused,28725124275
paused,28725099795
paused,28725081435
paused,28725083115
paused,28725083475
paused,28725094995
paused,28725095235
active,28725042555
active,28725048195
active,28725049995
active,28725051315
active,28725053835
active,28725040995
active,28725042915
active,28725044115
active,28725047355
active,28725047475
active,28725037875
active,28725039195
active,28725039315
paused,28725110355
paused,28725069675
paused,28725075675
paused,28725075795
paused,28725075195
paused,28725079755
paused,28725094875
paused,28725068115
paused,28725067275
paused,28725063555
paused,28725153675
paused,28725113715
paused,28725114075
paused,28725125595
paused,28725125715
paused,28725113235
active,30228660795
paused,28725121515
paused,28725122955
paused,28725104235
paused,28725100515
paused,28725100275
paused,28725060675
paused,28725060915
paused,28725061155
paused,28725061395
paused,28725061875
paused,28725062115
paused,28725062835
paused,28725062955
paused,28725063195
paused,28725093195
paused,28725094035
paused,28725095115
paused,28725097995
paused,28725060315
paused,28725107235
paused,28725071835
paused,28725072195
paused,28725072315
paused,28725105555
paused,28725106755
paused,28725090555
paused,28725090915
paused,28725091395
paused,28725071595
active,28725071355
paused,28725070875
active,28725070155
active,28725069555
paused,28725067395
paused,28725066555
paused,28725066435
paused,28725066315
paused,28725066195
paused,28725066075
paused,28725065835
paused,28725065595
paused,28725065475
active,28725064035
paused,28725064275
paused,28725064515
paused,28725064635
paused,28725064755
paused,28725065355
paused,28725063675
paused,28725063435
paused,28725125115
paused,28725124995
paused,28725122115
paused,28725122235
paused,28725122475
paused,28725123795
paused,28725123915
paused,28725124395
paused,28725121635
active,30279246435
paused,28725121875
active,30228660675
active,30228661035
active,30228661395
active,30228661515
active,28725105675
active,28725106635
active,30279245715
active,30279246195
