"Ad group state","Ad group ID"
paused,26570642203
paused,26570661883
active,27001734403
active,26965262803
active,27393488083
active,27393488203
paused,26570643283
paused,26570654323
paused,26570643043
paused,26570643163
paused,26570643403
paused,26570644003
paused,26570642803
paused,26570642923
paused,26570623483
active,26570624803
active,26570626123
paused,26570639443
paused,26570639563
paused,26570639683
paused,26570639803
paused,26570640283
paused,26570640403
paused,26570641123
paused,26570641363
paused,26570641483
paused,26570642683
paused,26570666923
active,26570668603
paused,26570640163
paused,26570640523
paused,26570642323
paused,26570677123
paused,26570669083
paused,26570647843
paused,26570645323
paused,26570646283
paused,26570628403
paused,26570630083
paused,26570629603
paused,26570629363
paused,26570630923
paused,26570632483
paused,26570632363
paused,26570665603
active,26570670283
active,26570672323
paused,26570671483
paused,26570650363
paused,26570650963
paused,26570646523
paused,26570647003
paused,26570647243
paused,26570647363
paused,26570647483
paused,26570678203
paused,26570673163
paused,26570650003
paused,26570646643
paused,26570647723
paused,26570645203
paused,26570638723
paused,26570638843
paused,26570681443
paused,26570632003
paused,26570642563
paused,26570649883
paused,26570642443
paused,26570642083
paused,26570679523
paused,26570674363
paused,26570674603
paused,26570674843
active,26570675563
paused,26570639923
paused,26570640043
paused,26570640643
paused,26570640763
paused,26570640883
paused,26570641003
paused,26570641243
paused,26570641603
paused,26570641723
paused,26570641843
paused,26570641963
paused,26570634403
paused,26570635243
paused,26570685283
active,26570679883
paused,26570680603
active,26570633683
paused,26570684443
paused,26570684323
paused,26570682403
paused,26570682043
paused,26570681923
paused,26570639203
paused,26570639083
paused,26570638963
paused,26570646403
paused,26570647123
paused,26570647603
paused,26570645443
paused,26570645563
paused,26570645683
active,26570645803
active,26570645923
active,26570646043
active,26570646163
paused,26570644363
paused,26570649643
paused,26570649763
paused,26570650123
paused,26570650483
paused,26570650603
paused,26570650723
paused,26570650843
paused,26570651083
paused,26570646763
paused,26570646883
paused,26570643883
paused,26570629723
active,26570677483
paused,26570644123
paused,26570644483
paused,26570648923
paused,26570649163
paused,26570649403
paused,26570649523
paused,26570643643
active,26570664403
active,26570670523
active,26570673283
active,26570681563
active,26570674003
active,26570674963
paused,26570648083
paused,26570648323
paused,26570648683
paused,26570649043
active,26570660323
paused,26570624323
active,26570678083
paused,26570677603
active,26570662963
active,27001734523
active,27001734283
paused,26570654083
active,26570654443
paused,26570651683
active,26965261843
paused,26570634643
paused,26570674723
paused,26570672203
paused,26570688043
active,26570652043
paused,26570653723
active,26570654203
active,26570654563
paused,26570651203
paused,26570647963
paused,26570648203
paused,26570648563
paused,26570648803
paused,26570649283
paused,26570653963
paused,26570651323
paused,26570651443
paused,26570651563
paused,26570648443
active,26570653843
active,26570659723
paused,26570662123
paused,26570661763
paused,26570671003
paused,26570671843
paused,26570672083
active,26570672443
paused,26570670043
paused,26570670163
paused,26570665123
paused,26570666323
paused,26570666803
paused,26570667283
paused,26570667763
active,26570668003
paused,26570668363
active,26570668723
paused,26570669203
paused,26570669323
paused,26570669443
paused,26570669563
paused,26570668123
paused,26570668243
paused,26570668963
